Key,File,Type,UsedInMainMenu,NoTranslate,KeepLoaded,english
reqAutoRifles45,,,,,,"Requires Level 45 Automatic Rifles"
reqAutoRifles50,,,,,,"Requires Level 50 Automatic Rifles"
reqAutoRifles55,,,,,,"Requires Level 55 Automatic Rifles"
reqAutoRifles60,,,,,,"Requires Level 60 Automatic Rifles"
reqAutoRifles65,,,,,,"Requires Level 65 Automatic Rifles"
reqAutoRifles70,,,,,,"Requires Level 70 Automatic Rifles"
reqAutoRifles75,,,,,,"Requires Level 75 Automatic Rifles"
reqAutoRifles80,,,,,,"Requires Level 80 Automatic Rifles"
reqAutoRifles85,,,,,,"Requires Level 85 Automatic Rifles"
reqAutoRifles90,,,,,,"Requires Level 90 Automatic Rifles"
reqAutoRifles95,,,,,,"Requires Level 95 Automatic Rifles"
reqAutoRifles100,,,,,,"Requires Level 100 Automatic Rifles"
reqSpeech5,,,,,,"Requires Level 5 Speech"
reqSpeech10,,,,,,"Requires Level 10 Speech"
reqSpeech15,,,,,,"Requires Level 15 Speech"
reqSpeech20,,,,,,"Requires Level 20 Speech"
reqSpeech25,,,,,,"Requires Level 25 Speech"
reqSpeech30,,,,,,"Requires Level 30 Speech"
reqSpeech35,,,,,,"Requires Level 35 Speech"
reqSpeech40,,,,,,"Requires Level 40 Speech"
reqSpeech45,,,,,,"Requires Level 45 Speech"
reqSpeech50,,,,,,"Requires Level 50 Speech"
reqSpeech55,,,,,,"Requires Level 55 Speech"
reqSpeech60,,,,,,"Requires Level 60 Speech"
reqSpeech65,,,,,,"Requires Level 65 Speech"
reqSpeech70,,,,,,"Requires Level 70 Speech"
reqSpeech75,,,,,,"Requires Level 75 Speech"
reqSpeech80,,,,,,"Requires Level 80 Speech"
reqSpeech85,,,,,,"Requires Level 85 Speech"
reqSpeech90,,,,,,"Requires Level 90 Speech"
reqSpeech95,,,,,,"Requires Level 95 Speech"
reqSpeech100,,,,,,"Requires Level 100 Speech"
reqScience5,,,,,,"Requires Level 5 Science"
reqScience10,,,,,,"Requires Level 10 Science"
reqScience15,,,,,,"Requires Level 15 Science"
reqScience20,,,,,,"Requires Level 20 Science"
reqScience25,,,,,,"Requires Level 25 Science"
reqScience30,,,,,,"Requires Level 30 Science"
reqScience35,,,,,,"Requires Level 35 Science"
reqScience40,,,,,,"Requires Level 40 Science"
reqScience45,,,,,,"Requires Level 45 Science"
reqScience50,,,,,,"Requires Level 50 Science"
reqScience55,,,,,,"Requires Level 55 Science"
reqScience60,,,,,,"Requires Level 60 Science"
reqScience65,,,,,,"Requires Level 65 Science"
reqScience70,,,,,,"Requires Level 70 Science"
reqScience75,,,,,,"Requires Level 75 Science"
reqScience80,,,,,,"Requires Level 80 Science"
reqScience85,,,,,,"Requires Level 85 Science"
reqScience90,,,,,,"Requires Level 90 Science"
reqScience95,,,,,,"Requires Level 95 Science"
reqScience100,,,,,,"Requires Level 100 Science"
reqEngineering5,,,,,,"Requires Level 5 Engineering"
reqEngineering10,,,,,,"Requires Level 10 Engineering"
reqEngineering15,,,,,,"Requires Level 15 Engineering"
reqEngineering20,,,,,,"Requires Level 20 Engineering"
reqEngineering25,,,,,,"Requires Level 25 Engineering"
reqEngineering30,,,,,,"Requires Level 30 Engineering"
reqEngineering35,,,,,,"Requires Level 35 Engineering"
reqEngineering40,,,,,,"Requires Level 40 Engineering"
reqEngineering45,,,,,,"Requires Level 45 Engineering"
reqEngineering50,,,,,,"Requires Level 50 Engineering"
reqEngineering55,,,,,,"Requires Level 55 Engineering"
reqEngineering60,,,,,,"Requires Level 60 Engineering"
reqEngineering65,,,,,,"Requires Level 65 Engineering"
reqEngineering70,,,,,,"Requires Level 70 Engineering"
reqEngineering75,,,,,,"Requires Level 75 Engineering"
reqEngineering80,,,,,,"Requires Level 80 Engineering"
reqEngineering85,,,,,,"Requires Level 85 Engineering"
reqEngineering90,,,,,,"Requires Level 90 Engineering"
reqEngineering95,,,,,,"Requires Level 95 Engineering"
reqEngineering100,,,,,,"Requires Level 100 Engineering"
reqArmor5,,,,,,"Requires Level 5 Armor"
reqArmor10,,,,,,"Requires Level 10 Armor"
reqArmor15,,,,,,"Requires Level 15 Armor"
reqArmor20,,,,,,"Requires Level 20 Armor"
reqArmor25,,,,,,"Requires Level 25 Armor"
reqArmor30,,,,,,"Requires Level 30 Armor"
reqArmor35,,,,,,"Requires Level 35 Armor"
reqArmor40,,,,,,"Requires Level 40 Armor"
reqArmor45,,,,,,"Requires Level 45 Armor"
reqArmor50,,,,,,"Requires Level 50 Armor"
reqArmor55,,,,,,"Requires Level 55 Armor"
reqArmor60,,,,,,"Requires Level 60 Armor"
reqArmor65,,,,,,"Requires Level 65 Armor"
reqArmor70,,,,,,"Requires Level 70 Armor"
reqArmor75,,,,,,"Requires Level 75 Armor"
reqArmor80,,,,,,"Requires Level 80 Armor"
reqArmor85,,,,,,"Requires Level 85 Armor"
reqArmor90,,,,,,"Requires Level 90 Armor"
reqArmor95,,,,,,"Requires Level 95 Armor"
reqArmor100,,,,,,"Requires Level 100 Armor"
reqSurvivalism5,,,,,,"Requires Level 5 Survivalism"
reqSurvivalism10,,,,,,"Requires Level 10 Survivalism"
reqSurvivalism15,,,,,,"Requires Level 15 Survivalism"
reqSurvivalism20,,,,,,"Requires Level 20 Survivalism"
reqSurvivalism25,,,,,,"Requires Level 25 Survivalism"
reqSurvivalism30,,,,,,"Requires Level 30 Survivalism"
reqSurvivalism35,,,,,,"Requires Level 35 Survivalism"
reqSurvivalism40,,,,,,"Requires Level 40 Survivalism"
reqSurvivalism45,,,,,,"Requires Level 45 Survivalism"
reqSurvivalism50,,,,,,"Requires Level 50 Survivalism"
reqSurvivalism55,,,,,,"Requires Level 55 Survivalism"
reqSurvivalism60,,,,,,"Requires Level 60 Survivalism"
reqSurvivalism65,,,,,,"Requires Level 65 Survivalism"
reqSurvivalism70,,,,,,"Requires Level 70 Survivalism"
reqSurvivalism75,,,,,,"Requires Level 75 Survivalism"
reqSurvivalism80,,,,,,"Requires Level 80 Survivalism"
reqSurvivalism85,,,,,,"Requires Level 85 Survivalism"
reqSurvivalism90,,,,,,"Requires Level 90 Survivalism"
reqSurvivalism95,,,,,,"Requires Level 95 Survivalism"
reqSurvivalism100,,,,,,"Requires Level 100 Survivalism"
reqMining5,,,,,,"Requires Level 5 Mining"
reqMining10,,,,,,"Requires Level 10 Mining"
reqMining15,,,,,,"Requires Level 15 Mining"
reqMining20,,,,,,"Requires Level 20 Mining"
reqMining25,,,,,,"Requires Level 25 Mining"
reqMining30,,,,,,"Requires Level 30 Mining"
reqMining35,,,,,,"Requires Level 35 Mining"
reqMining40,,,,,,"Requires Level 40 Mining"
reqMining45,,,,,,"Requires Level 45 Mining"
reqMining50,,,,,,"Requires Level 50 Mining"
reqMining55,,,,,,"Requires Level 55 Mining"
reqMining60,,,,,,"Requires Level 60 Mining"
reqMining65,,,,,,"Requires Level 65 Mining"
reqMining70,,,,,,"Requires Level 70 Mining"
reqMining75,,,,,,"Requires Level 75 Mining"
reqMining80,,,,,,"Requires Level 80 Mining"
reqMining85,,,,,,"Requires Level 85 Mining"
reqMining90,,,,,,"Requires Level 90 Mining"
reqMining95,,,,,,"Requires Level 95 Mining"
reqMining100,,,,,,"Requires Level 100 Mining"
reqSalvaging5,,,,,,"Requires Level 5 Salvaging"
reqSalvaging10,,,,,,"Requires Level 10 Salvaging"
reqSalvaging15,,,,,,"Requires Level 15 Salvaging"
reqSalvaging20,,,,,,"Requires Level 20 Salvaging"
reqSalvaging25,,,,,,"Requires Level 25 Salvaging"
reqSalvaging30,,,,,,"Requires Level 30 Salvaging"
reqSalvaging35,,,,,,"Requires Level 35 Salvaging"
reqSalvaging40,,,,,,"Requires Level 40 Salvaging"
reqSalvaging45,,,,,,"Requires Level 45 Salvaging"
reqSalvaging50,,,,,,"Requires Level 50 Salvaging"
reqSalvaging55,,,,,,"Requires Level 55 Salvaging"
reqSalvaging60,,,,,,"Requires Level 60 Salvaging"
reqSalvaging65,,,,,,"Requires Level 65 Salvaging"
reqSalvaging70,,,,,,"Requires Level 70 Salvaging"
reqSalvaging75,,,,,,"Requires Level 75 Salvaging"
reqSalvaging80,,,,,,"Requires Level 80 Salvaging"
reqSalvaging85,,,,,,"Requires Level 85 Salvaging"
reqSalvaging90,,,,,,"Requires Level 90 Salvaging"
reqSalvaging95,,,,,,"Requires Level 95 Salvaging"
reqSalvaging100,,,,,,"Requires Level 100 Salvaging"
reqScavenging5,,,,,,"Requires Level 5 Scavenging"
reqScavenging10,,,,,,"Requires Level 10 Scavenging"
reqScavenging15,,,,,,"Requires Level 15 Scavenging"
reqScavenging20,,,,,,"Requires Level 20 Scavenging"
reqScavenging25,,,,,,"Requires Level 25 Scavenging"
reqScavenging30,,,,,,"Requires Level 30 Scavenging"
reqScavenging35,,,,,,"Requires Level 35 Scavenging"
reqScavenging40,,,,,,"Requires Level 40 Scavenging"
reqScavenging45,,,,,,"Requires Level 45 Scavenging"
reqScavenging50,,,,,,"Requires Level 50 Scavenging"
reqScavenging55,,,,,,"Requires Level 55 Scavenging"
reqScavenging60,,,,,,"Requires Level 60 Scavenging"
reqScavenging65,,,,,,"Requires Level 65 Scavenging"
reqScavenging70,,,,,,"Requires Level 70 Scavenging"
reqScavenging75,,,,,,"Requires Level 75 Scavenging"
reqScavenging80,,,,,,"Requires Level 80 Scavenging"
reqScavenging85,,,,,,"Requires Level 85 Scavenging"
reqScavenging90,,,,,,"Requires Level 90 Scavenging"
reqScavenging95,,,,,,"Requires Level 95 Scavenging"
reqScavenging100,,,,,,"Requires Level 100 Scavenging"
reqPlayerLevel5,,,,,,"Requires Player Level 5"
reqPlayerLevel10,,,,,,"Requires Player Level 10"
reqPlayerLevel15,,,,,,"Requires Player Level 15"
reqPlayerLevel20,,,,,,"Requires Player Level 20"
reqPlayerLevel25,,,,,,"Requires Player Level 25"
reqPlayerLevel30,,,,,,"Requires Player Level 30"
reqPlayerLevel35,,,,,,"Requires Player Level 35"
reqPlayerLevel40,,,,,,"Requires Player Level 40"
reqPlayerLevel45,,,,,,"Requires Player Level 45"
reqPlayerLevel50,,,,,,"Requires Player Level 50"
reqPlayerLevel55,,,,,,"Requires Player Level 55"
reqPlayerLevel60,,,,,,"Requires Player Level 60"
reqPlayerLevel65,,,,,,"Requires Player Level 65"
reqPlayerLevel70,,,,,,"Requires Player Level 70"
reqPlayerLevel75,,,,,,"Requires Player Level 75"
reqPlayerLevel80,,,,,,"Requires Player Level 80"
reqPlayerLevel85,,,,,,"Requires Player Level 85"
reqPlayerLevel90,,,,,,"Requires Player Level 90"
reqPlayerLevel95,,,,,,"Requires Player Level 95"
reqPlayerLevel100,,,,,,"Requires Player Level 100"
perkSexualTrexRank1LongDesc,,,,,,"You've graduated to bench warmer, use 10% less stamina when swinging melee weapons and tools."
perkSexualTrexRank2LongDesc,,,,,,"You're now a bonafide athlete, use 20% less stamina when swinging melee weapons and tools."
perkSexualTrexRank3LongDesc,,,,,,"You're a modern warrior, use 30% less stamina when swinging melee weapons and tools and 40% less when power attacking."
perkSexualTrexRank4LongDesc,,,,,,"You're a real cage gladiator, use 40% less stamina when swinging melee weapons and tools or 35% less when power attacking."
perkSexualTrexRank5Desc,,,,,,"Sexual Tyrannosaurus"
perkSexualTrexRank5LongDesc,,,,,,"You're THE Sexual Tyrannosaurus, use 50% less stamina when swinging melee weapons and tools or 40% less when power attacking."
perkFlurryOfBlowsRank1LongDesc,,,,,,"You've got some quick hands, swing all melee weapons 10% faster."
perkFlurryOfBlowsRank2LongDesc,,,,,,"You've got a sudden strike, swing all melee weapons 20% faster."
perkFlurryOfBlowsRank3LongDesc,,,,,,"You've mastered the flurry of blows, swing all melee weapons 30% faster."
perkChargingBull,,,,,,"Charging Bull"
perkChargingBullName,,,,,,"Charging Bull"
perkChargingBullDesc,,,,,,"Lead the charge and make an entrance. You like to charge in head first and smash skulls while shrugging off damage."
perkChargingBullRank1Desc,,,,,,"Crazed Barbarian"
perkChargingBullRank1LongDesc,,,,,,"You're a little crazy but that's alright you back it up with 10% more melee damage and 10% less damage taken while sprinting."
perkChargingBullRank2Desc,,,,,,"First In"
perkChargingBullRank2LongDesc,,,,,,"You're the first one into the fight and you start with a bang with 20% more melee damage and 20% less damage taken while sprinting."
perkChargingBullRank3Desc,,,,,,"Charging Bull"
perkChargingBullRank3LongDesc,,,,,,"You've become a charging bull, your sprinting power attacks devastate enemies and you shrug off blows through pure rage with 30% more melee damage and 30% less damage taken while sprinting."
perkBrutalStrikes,,,,,,"Brutal Strikes"
perkBrutalStrikesName,,,,,,"Brutal Strikes"
perkBrutalStrikesDesc,,,,,,"You've had enough of these zombies getting in your grill, teach them a lesson in personal space and take out your rage on them with devastating attacks to the skull."
perkBrutalStrikesRank1Desc,,,,,,"Sucker Puncher"
perkBrutalStrikesRank1LongDesc,,,,,,"You've thrown a punch or two in your time, deal 10% more damage to the head and have a 10% higher chance to dismember with melee attacks."
perkBrutalStrikesRank2Desc,,,,,,"Jaw Breaker"
perkBrutalStrikesRank2LongDesc,,,,,,"You're a real striker now, deal 20% more headshot damage and have a 20% higher chance to dismember with melee attacks."
perkBrutalStrikesRank3Desc,,,,,,"Bone Cracker"
perkBrutalStrikesRank3LongDesc,,,,,,"Ouch, that noise just doesn't bother you anymore huh? you deal 30% more headshot damage and have a 30% higher chance to dismember with melee attacks."
perkBrutalStrikesRank4Desc,,,,,,"Vicious Savage"
perkBrutalStrikesRank4LongDesc,,,,,,"You're just enjoying this savagery at this point aren't you? you deal 40% more headshot damage and have a 40% higher chance to dismember with melee attacks."
perkBrutalStrikesRank5Desc,,,,,,"Brutal Striker"
perkBrutalStrikesRank5LongDesc,,,,,,"At a certain point you have to wonder if your arms can even handle this amount of force, you deal 50% more headshot damage and have a 50% higher chance to dismember with melee attacks."
perkSkullCrusher,,,,,,"Skull Crusher"
perkSkullCrusherIzpName,,,,,,"Skull Crusher"
perkSkullCrusherIzpDesc,,,,,,"Develop your technique of smashing skulls even more."
perkSkullCrusherRank1Desc,,,,,,"Black Eye"
perkSkullCrusherRank1LongDesc,,,,,,"That's gonna leave a mark, deal 10% more headshot damage and have a 10% higher chance to dismember with blunt weapons."
perkSkullCrusherRank2Desc,,,,,,"Nose Breaker"
perkSkullCrusherRank2LongDesc,,,,,,"Those zombies aren't gonna smell you coming now. Deal 20% more headshot damage and have a 20% higher chance to dismember with blunt weapons."
perkSkullCrusherRank3Desc,,,,,,"Concussion Incoming"
perkSkullCrusherRank3LongDesc,,,,,,"Can a zombie get a concussion? Further research required. Deal 30% more headshot damage and have a 30% higher chance to dismember with blunt weapons."
perkSkullCrusherRank4Desc,,,,,,"Brain Liquidator"
perkSkullCrusherRank4LongDesc,,,,,,"Those zombies will be drinking their own brains through a straw when you're done. Deal 40% more headshot damage and have a 40% higher chance to dismember with blunt weapons."
perkSkullCrusherRank5Desc,,,,,,"Skull Crusher"
perkSkullCrusherRank5LongDesc,,,,,,"That used to be a human head? Could have fooled me. Deal 50% more headshot damage and have a 50% higher chance to dismember with blunt weapons."
perkPummelPeteDesc,,,,,,"Specialise in knocking your foes senseless with blunt weapons."
perkPummelPeteRank1LongDesc,,,,,,"As a roughneck you know how to pack a punch, deal 10% more damage and have a 60% chance to knockdown enemies that are already stunned."
perkPummelPeteRank2LongDesc,,,,,,"Only a thug like you would specialize in kicking people when they're already down, deal 20% more damage and have a 70% chance to knockdown enemies that are already stunned."
perkPummelPeteRank3LongDesc,,,,,,"You're in the big leagues now, deal 30% more damage and have a 80% chance to knockdown enemies that are already stunned. Additionally, landing 5 successive hits in a short time causes the last hit to deal 100% more damage."
perkSledgelord,,,,,,"Sledgelord"
perkSledgelordName,,,,,,"Sledgelord"
perkSledgelordDesc,,,,,,"Specialise in taking foes off their feet with devastating sledgehammer power attacks."
perkSledgelordRank1Desc,,,,,,"The Hammer Head"
perkSledgelordRank1LongDesc,,,,,,"You're a real hammer head, gain a 15% chance to knock down enemies with sledgehammer power attacks."
perkSledgelordRank2Desc,,,,,,"The Game"
perkSledgelordRank2LongDesc,,,,,,"Good God almighty that was sickening! Gain a 30% chance to knock enemies down with sledgehammer power attacks."
perkSledgelordRank3Desc,,,,,,"The Sledgelord"
perkSledgelordRank3LongDesc,,,,,,"They shall bow before the sledgy-est of them all, gain a 60% chance to knock down enemies with sledgehammer power attacks. Additionally gain a 20% chance to knockdown nearby enemies."
perkElectrocutionerDesc,,,,,,"Learn how to use batons more effectively and incapacitate your victims easier."
perkElectrocutionerRank1LongDesc,,,,,,"Stop, that tickles. Stun batons stun enemies 20% longer."
perkElectrocutionerRank2LongDesc,,,,,,"Everyone is sick of your 'Don't Taze Me Bro' references, but Stun baton stun enemies 40% longer."
perkElectrocutionerRank3LongDesc,,,,,,"Warning: Don't stand behind animals when stunning them. Stun baton stuns last 60% longer."
perkElectrocutionerRank4LongDesc,,,,,,"ZAP! Stun baton stuns last 80% longer and you gain a 20% higher chance to dismember with batons."
perkElectrocutionerRank5LongDesc,,,,,,"Who died and made you Judge, Jury and Electrocutioner? Stun batons stun 100% longer and have a 10% chance to insta-kill enemies."
perkBreakingAndEntering,,,,,,"Breaking and Entering"
perkBreakingAndEnteringName,,,,,,"Breaking and Entering"
perkBreakingAndEnteringDesc,,,,,,"Lockpicks are for the weak, smash open walls, containers or even the earth itself with increased block damage for blunt weapons."
perkBreakingAndEnteringRank1Desc,,,,,,"Percussive Lockpicking"
perkBreakingAndEnteringRank1LongDesc,,,,,,"You don't need a lockpick if you just smash the lock, blunt weapons deal 3x block damage."
perkBreakingAndEnteringRank2Desc,,,,,,"Oh YEAH"
perkBreakingAndEnteringRank2LongDesc,,,,,,"Smash through walls like your favorite half-liquid, half-glass-container mascot. Blunt weapons deal 4x block damage."
perkBreakingAndEnteringRank3Desc,,,,,,"Breaking and Entering"
perkBreakingAndEnteringRank3LongDesc,,,,,,"You could have just knocked you know? Blunt weapons deal 5x block damage."
perkDecapitator,,,,,,"Decapitator"
perkDecapitatorName,,,,,,"Decapitator"
perkDecapitatorDesc,,,,,,"Aim for the neck and relieve the zombies of their heads."
perkDecapitatorRank1Desc,,,,,,"Rookie Executioner"
perkDecapitatorRank1LongDesc,,,,,,"You're far from a seasoned executioner but you get the job done eventually, deal 10% more headshot damage and have a 10% higher chance to dismember with bladed weapons."
perkDecapitatorRank2Desc,,,,,,"Headhunter"
perkDecapitatorRank2LongDesc,,,,,,"You work for the department of death as a recruiter (for the afterlife), deal 20% more headshot damage and have a 20% higher chance to dismember with bladed weapons."
perkDecapitatorRank3Desc,,,,,,"Licensed Headsman"
perkDecapitatorRank3LongDesc,,,,,,"The last person to ask to see the license got exactly what they asked for, deal 30% more headshot damage and have a 30% higher chance to dismember with bladed weapons."
perkDecapitatorRank4Desc,,,,,,"Guillotine"
perkDecapitatorRank4LongDesc,,,,,,"Your blade could power a revolution, deal 40% more headshot damage and have a 40% higher chance to dismember with bladed weapons."
perkDecapitatorRank5Desc,,,,,,"The Decapitator"
perkDecapitatorRank5LongDesc,,,,,,"You probably need to get someone else to cut your hair now...just in case. You deal 50% more headshot damage and have a 50% higher chance to dismember with bladed weapons."
perkDeepCuts,,,,,,"Deep Cuts"
perkDeepCutsName,,,,,,"Deep Cuts"
perkDeepCutsDesc,,,,,,"Specialise in using knives, machetes, axes and chainsaws to inflict devastating blood loss on your enemies."
perkDeepCutsRank1Desc,,,,,,"Dull Blade"
perkDeepCutsRank1LongDesc,,,,,,"Inflict up to 3 Bleeding Wounds on an enemy and a power attack inflicts 2. Every attack refreshes the duration on bleeding. Each bleed stack does 1 damage per second for 20 seconds."
perkDeepCutsRank2Desc,,,,,,"Blood Bath"
perkDeepCutsRank2LongDesc,,,,,,"Inflict up to 4 Bleeding Wounds on an enemy and a power attack inflicts 3."
perkDeepCutsRank3Desc,,,,,,"Deep Cuts"
perkDeepCutsRank3LongDesc,,,,,,"Inflict up to 7 Bleeding Wounds on an enemy and a power attack inflicts 5, glancing blows also inflict 1 bleed stack."
perkKnifeGuy,,,,,,"Knife Guy"
perkKnifeGuyName,,,,,,"Knife Guy"
perkKnifeGuyDesc,,,,,,"Swing your knives and machetes faster and specialise in stealthily assassinating targets."
perkKnifeGuyRank1Desc,,,,,,"Slasher"
perkKnifeGuyRank1LongDesc,,,,,,"You're a real slasher, Attack 5% faster and deal 50% more sneak attack damage with knives and machetes"
perkKnifeGuyRank2Desc,,,,,,"Slayer"
perkKnifeGuyRank2LongDesc,,,,,,"Attack 10% faster and deal 100% more sneak attack damage with knives and machetes"
perkKnifeGuyRank3Desc,,,,,,"Knife Guy"
perkKnifeGuyRank3LongDesc,,,,,,"Attack 15% faster and deal 150% more sneak attack damage with knives and machetes"
perkMangler,,,,,,"Mangler"
perkManglerName,,,,,,"Mangler"
perkManglerDesc,,,,,,"The enemies can't hurt you if you rip their hands and jaws to pieces with axes and chainsaws first."
perkManglerRank1Desc,,,,,,"Mauler"
perkManglerRank1LongDesc,,,,,,"Attacks with axes and chainsaws cause enemies to do 10% less damage for 10 seconds."
perkManglerRank2Desc,,,,,,"Mutilator"
perkManglerRank2LongDesc,,,,,,"Attacks with axes and chainsaws cause enemies to do 15% less damage for 10 seconds."
perkManglerRank3Desc,,,,,,"Mangler"
perkManglerRank3LongDesc,,,,,,"Attacks with axes and chainsaws cause enemies to do 20% less damage for 10 seconds."
perkChainsawMassacre,,,,,,"Chainsaw Massacre"
perkChainsawMassacreName,,,,,,"Chainsaw Massacre"
perkChainsawMassacreDesc,,,,,,"Specialise in shredding the limbs of enemies with your chainsaw."
perkChainsawMassacreRank1Desc,,,,,,"Lumberjack"
perkChainsawMassacreRank1LongDesc,,,,,,"Chainsaws deal 10% more damage and have 10% more dismemberment chance."
perkChainsawMassacreRank2Desc,,,,,,"Maniac"
perkChainsawMassacreRank2LongDesc,,,,,,"Chainsaws deal 20% more damage and have 20% more dismemberment chance."
perkChainsawMassacreRank3Desc,,,,,,"Chainsaw Massacre"
perkChainsawMassacreRank3LongDesc,,,,,,"Chainsaws deal 30% more damage and have 30% more dismemberment chance."
perkLobotomizer,,,,,,"Lobotomizer"
perkLobotomizerName,,,,,,"Lobotomizer"
perkLobotomizerDesc,,,,,,"Aim for the head and they stay dead. Specialise in dealing more headshot damage and dismemberment with piercing weapons like spears, pickaxes and shovels."
perkLobotomizerRank1Desc,,,,,,"Shishkebab"
perkLobotomizerRank1LongDesc,,,,,,"Deal 10% more headshot damage and have a 10% higher chance to dismember with piercing weapons."
perkLobotomizerRank2Desc,,,,,,"Impaler"
perkLobotomizerRank2LongDesc,,,,,,"Deal 20% more headshot damage and have a 20% higher chance to dismember with piercing weapons."
perkLobotomizerRank3Desc,,,,,,"Head Popper"
perkLobotomizerRank3LongDesc,,,,,,"Deal 30% more headshot damage and have a 30% higher chance to dismember with piercing weapons."
perkLobotomizerRank4Desc,,,,,,"Brain Surgeon"
perkLobotomizerRank4LongDesc,,,,,,"Deal 40% more headshot damage and have a 40% higher chance to dismember with piercing weapons."
perkLobotomizerRank5Desc,,,,,,"The Lobotomizer"
perkLobotomizerRank5LongDesc,,,,,,"Deal 50% more headshot damage and have a 50% higher chance to dismember with piercing weapons."
perkStayBack,,,,,,"Stay Back"
perkStayBackName,,,,,,"Stay Back"
perkStayBackDesc,,,,,,"Keep enemies at bay by slowing them down with crippling strikes from piercing weapons like spears, pickaxes and shovels."
perkStayBackRank1Desc,,,,,,"Arms Reach"
perkStayBackRank1LongDesc,,,,,,"Gain a 60% chance to slow enemies with piercing weapons."
perkStayBackRank2Desc,,,,,,"Crippler"
perkStayBackRank2LongDesc,,,,,,"Gain an 80% chance to slow enemies with piercing weapons."
perkStayBackRank3Desc,,,,,,"Stay Back"
perkStayBackRank3LongDesc,,,,,,"Gain an 100% chance to slow enemies with piercing weapons."
perkSurgicalStrike,,,,,,"Surgical Strike"
perkSurgicalStrikeName,,,,,,"Surgical Strike"
perkSurgicalStrikeDesc,,,,,,"Look for gaps in the armor and strike. Deal more damage to armored enemies with piercing weapons."
perkSurgicalStrikeRank1Desc,,,,,,"Accurate Attack"
perkSurgicalStrikeRank1LongDesc,,,,,,"Piercing weapons ignore 30% of armor."
perkSurgicalStrikeRank2Desc,,,,,,"Precise Thrust"
perkSurgicalStrikeRank2LongDesc,,,,,,"Piercing weapons ignore 50% of armor."
perkSurgicalStrikeRank3Desc,,,,,,"Surgical Strike"
perkSurgicalStrikeRank3LongDesc,,,,,,"Piercing weapons ignore 60% of armor."
perkRunAndGun,,,,,,"Run and Gun"
perkRunAndGunName,,,,,,"Run and Gun"
perkRunAndGunDesc,,,,,,"Increase your accuracy when firing from the hip."
perkRunAndGunRank1Desc,,,,,,"Twitch Fingers"
perkRunAndGunRank1LongDesc,,,,,,"Increases Hipfire Accuracy by 10%."
perkRunAndGunRank2Desc,,,,,,"Trigger Man"
perkRunAndGunRank2LongDesc,,,,,,"Increases Hipfire Accuracy by 20%."
perkRunAndGunRank3Desc,,,,,,"Run and Gun"
perkRunAndGunRank3LongDesc,,,,,,"Increases Hipfire Accuracy by 30%."
perkProperMaintenance,,,,,,"Proper Maintenance"
perkProperMaintenanceName,,,,,,"Proper Maintenance"
perkProperMaintenanceDesc,,,,,,"Learn to maintain  your firearms and archery weapons so they break slower."
perkProperMaintenanceRank1Desc,,,,,,"Spit Polish"
perkProperMaintenanceRank1LongDesc,,,,,,"Decrease ranged weapon degradation by 20%."
perkProperMaintenanceRank2Desc,,,,,,"Careful Repairs"
perkProperMaintenanceRank2LongDesc,,,,,,"Decrease ranged weapon degradation by 40%."
perkProperMaintenanceRank3Desc,,,,,,"Proper Maintenance"
perkProperMaintenanceRank3LongDesc,,,,,,"Decrease ranged weapon degradation by 60%."
perkCripplingShot,,,,,,"Crippling Shot"
perkCripplingShotName,,,,,,"Crippling Shot"
perkCripplingShotDesc,,,,,,"A zombie that can't move is a lot less deadly. Specialise in increased dismemberment to the legs of enemies."
perkCripplingShotRank1Desc,,,,,,"Kneecapper"
perkCripplingShotRank1LongDesc,,,,,,"100% higher chance of leg dismemberment with ranged weapons."
perkCripplingShotRank2Desc,,,,,,"Leg Breaker"
perkCripplingShotRank2LongDesc,,,,,,"200% higher chance of leg dismemberment with ranged weapons."
perkCripplingShotRank3Desc,,,,,,"Crippling Shot"
perkCripplingShotRank3LongDesc,,,,,,"300% higher chance of leg dismemberment with ranged weapons."
perkGunslinger,,,,,,"Gunslinger"
perkGunslingerName,,,,,,"Gunslinger"
perkGunslingerDesc,,,,,,"Specialize in using handguns and SMGs with faster firerates and combo damage."
perkGunslingerRank1Desc,,,,,,"Rusty Shooter"
perkGunslingerRank1LongDesc,,,,,,"Reload pistols 10% faster."
perkGunslingerRank2Desc,,,,,,"Seasoned Slinger"
perkGunslingerRank2LongDesc,,,,,,"Reload pistols 20% faster."
perkGunslingerRank3Desc,,,,,,"Gun Fu"
perkGunslingerRank3LongDesc,,,,,,"Reload pistols 30% faster, \nCritical Damage: 5 successive hits in a short time cause double damage."
perkGunslingerRank4Desc,,,,,,"Agent"
perkGunslingerRank4LongDesc,,,,,,"Reload pistols 40% faster, \nCritical Damage: 4 successive hits in a short time cause double damage."
perkGunslingerRank5Desc,,,,,,"Gunslinger"
perkGunslingerRank5LongDesc,,,,,,"Reload pistols 50% faster, \nCritical Damage: 3 successive hits in a short time cause double damage."
perk9mmPeter,,,,,,"9mm Peter"
perk9mmPeterName,,,,,,"9mm Peter"
perk9mmPeterDesc,,,,,,"Specialise in using 9mm handguns and submachine guns with faster firerates and easier to control recoil."
perk9mmPeterRank1Desc,,,,,,"Motion of The Ocean"
perk9mmPeterRank1LongDesc,,,,,,"Pistols fire 10% faster with 20% less recoil."
perk9mmPeterRank2Desc,,,,,,"Growth Mindset"
